id,date,league.season,teams.home.id,teams.home.name,teams.away.id,teams.away.name,scores.home.quarter_1,scores.home.quarter_2,scores.home.quarter_3,scores.home.quarter_4,scores.home.over_time,scores.home.total,scores.away.quarter_1,scores.away.quarter_2,scores.away.quarter_3,scores.away.quarter_4,scores.away.over_time,scores.away.total,home_spread,CUMULATIVE_AVERAGES,home_avg_points_scored_so_far,home_avg_points_allowed_so_far,away_avg_points_scored_so_far,away_avg_points_allowed_so_far,L10_AVERAGES,home_avg_points_scored_L10,home_avg_points_allowed_L10,away_avg_points_scored_L10,away_avg_points_allowed_L10
372313,2023-11-02 00:30:00+00:00,2023-2024,138,Dallas Mavericks,136,Chicago Bulls,26,23,32,33,0.0,114,23,27,33,22,0.0,105,9,AVERAGES:,114.16666666666667,111.33333333333333,107.33333333333333,112.77777777777777,L10AVERAGES:,114.16666666666667,111.33333333333333,107.33333333333333,112.77777777777777
372314,2023-11-02 01:00:00+00:00,2023-2024,160,Utah Jazz,146,Memphis Grizzlies,42,37,25,29,0.0,133,19,27,33,30,0.0,109,24,AVERAGES:,111.25,116.5,111.22222222222223,115.55555555555556,L10AVERAGES:,111.25,116.5,111.22222222222223,115.55555555555556
372315,2023-11-02 02:00:00+00:00,2023-2024,141,Golden State Warriors,157,Sacramento Kings,28,28,18,28,0.0,102,31,24,24,22,0.0,101,1,AVERAGES:,118.88888888888889,111.55555555555556,115.25,116.75,L10AVERAGES:,118.88888888888889,111.55555555555556,115.25,116.75
372316,2023-11-02 02:00:00+00:00,2023-2024,145,Los Angeles Lakers,144,Los Angeles Clippers,24,24,39,30,13.0,130,37,24,24,32,8.0,125,5,AVERAGES:,110.8,116.1,110.875,102.625,L10AVERAGES:,110.8,116.1,110.875,102.625
372317,2023-11-02 23:00:00+00:00,2023-2024,154,Philadelphia 76ers,159,Toronto Raptors,30,28,32,24,0.0,114,26,23,28,22,0.0,99,15,AVERAGES:,115.85714285714286,110.57142857142857,110.0,102.625,L10AVERAGES:,115.85714285714286,110.57142857142857,110.0,102.625
372318,2023-11-03 00:00:00+00:00,2023-2024,150,New Orleans Pelicans,140,Detroit Pistons,35,37,22,31,0.0,125,29,20,34,33,0.0,116,9,AVERAGES:,102.5,108.875,113.33333333333333,113.66666666666667,L10AVERAGES:,102.5,108.875,113.33333333333333,113.66666666666667
372319,2023-11-03 01:00:00+00:00,2023-2024,160,Utah Jazz,153,Orlando Magic,34,24,28,27,0.0,113,30,36,24,25,0.0,115,-2,AVERAGES:,113.66666666666667,115.66666666666667,106.42857142857143,103.0,L10AVERAGES:,113.66666666666667,115.66666666666667,106.42857142857143,103.0
372320,2023-11-03 02:00:00+00:00,2023-2024,155,Phoenix Suns,158,San Antonio Spurs,20,35,34,32,0.0,121,39,36,28,29,0.0,132,-11,AVERAGES:,115.77777777777777,109.0,112.44444444444444,114.44444444444444,L10AVERAGES:,115.77777777777777,109.0,112.44444444444444,114.44444444444444
362177,2023-11-03 23:00:00+00:00,2023-2024,143,Indiana Pacers,137,Cleveland Cavaliers,36,34,18,33,0.0,121,26,27,34,29,0.0,116,5,AVERAGES:,115.875,120.625,104.25,108.625,L10AVERAGES:,115.875,120.625,104.25,108.625
362178,2023-11-03 23:30:00+00:00,2023-2024,148,Milwaukee Bucks,151,New York Knicks,21,35,26,28,0.0,110,25,21,30,29,0.0,105,5,AVERAGES:,111.22222222222223,115.0,106.33333333333333,110.22222222222223,L10AVERAGES:,111.22222222222223,115.0,106.33333333333333,110.22222222222223
