,id,date,league.season,teams.home.id,teams.home.name,teams.away.id,teams.away.name,scores.home.quarter_1,scores.home.quarter_2,scores.home.quarter_3,scores.home.quarter_4,scores.home.over_time,scores.home.total,scores.away.quarter_1,scores.away.quarter_2,scores.away.quarter_3,scores.away.quarter_4,scores.away.over_time,scores.away.total,home_spread,winner,total,WIN_PERCENTAGES,home_win_percentage,away_win_percentage,home_streak,away_streak,CUMULATIVE_AVERAGES,home_avg_points_scored_combined,home_avg_points_allowed_combined,away_avg_points_scored_combined,away_avg_points_allowed_combined,AT_HOME_AVGS,home_avg_points_scored_at_home,home_avg_points_allowed_at_home,ON_ROAD_AVGS,away_avg_points_scored_on_road,away_avg_points_allowed_on_road,L10_AVERAGES,home_avg_points_scored_L10,home_avg_points_allowed_L10,away_avg_points_scored_L10,away_avg_points_allowed_L10,L5_AVERAGES,home_avg_points_scored_L5_at_home,home_avg_points_allowed_L5_at_home,away_avg_points_scored_L5_on_road,away_avg_points_allowed_L5_on_road,DAYS_SINCE,home_days_since_last_game,away_days_since_last_game,H2H,home_h2h_spread,home_h2h_record,away_h2h_record
164,372630,2023-12-31 00:00:00+00:00,2023-2024,143,Indiana Pacers,151,New York Knicks,32,32,41,35,0.0,140,27,35,30,34,0.0,126,14,1,266,WIN_PERCENTAGES:,0.5,0.6,2,-2,CUM_AVERAGES:,126.2,125.4,114.8,112.0,AT_HOME_AVGS:,127.1,121.0,ON_ROAD_AVGS:,114.6,113.8,L10AVERAGES:,121.6,124.5,121.3,122.2,L5AVERAGES:,125.4,121.6,117.0,120.2,DAYS_SINCE:,1,1,H2H:,0,0,0
174,372640,2024-01-01 20:00:00+00:00,2023-2024,151,New York Knicks,149,Minnesota Timberwolves,23,38,33,18,0.0,112,32,17,29,28,0.0,106,6,1,218,WIN_PERCENTAGES:,0.5,0.8,-3,2,CUM_AVERAGES:,115.1,112.9,113.3,107.4,AT_HOME_AVGS:,115.1,109.2,ON_ROAD_AVGS:,113.5,112.4,L10AVERAGES:,120.3,123.2,113.8,112.0,L5AVERAGES:,121.8,117.0,112.0,112.6,DAYS_SINCE:,1,1,H2H:,-17,0,1
195,372657,2024-01-04 01:30:00+00:00,2023-2024,151,New York Knicks,136,Chicago Bulls,26,25,35,30,0.0,116,24,31,23,22,0.0,100,16,1,216,WIN_PERCENTAGES:,0.6,0.4,1,-1,CUM_AVERAGES:,115.0,112.7,109.5,112.0,AT_HOME_AVGS:,114.8,109.0,ON_ROAD_AVGS:,109.3,116.7,L10AVERAGES:,120.2,122.1,110.5,108.5,L5AVERAGES:,121.2,120.0,114.8,116.2,DAYS_SINCE:,2,1,H2H:,0,0,0
206,372670,2024-01-06 00:30:00+00:00,2023-2024,154,Philadelphia 76ers,151,New York Knicks,30,25,21,16,0.0,92,34,41,18,35,0.0,128,-36,0,220,WIN_PERCENTAGES:,0.7,0.6,1,2,CUM_AVERAGES:,120.7,110.5,115.1,112.3,AT_HOME_AVGS:,122.8,109.1,ON_ROAD_AVGS:,115.2,115.2,L10AVERAGES:,116.9,104.6,117.9,119.9,L5AVERAGES:,117.2,104.2,117.8,119.4,DAYS_SINCE:,3,1,H2H:,0,0,0
216,372683,2024-01-07 00:00:00+00:00,2023-2024,161,Washington Wizards,151,New York Knicks,19,24,32,30,0.0,105,34,29,28,30,0.0,121,-16,0,226,WIN_PERCENTAGES:,0.2,0.6,-3,3,CUM_AVERAGES:,115.4,126.2,115.4,111.7,AT_HOME_AVGS:,116.6,126.6,ON_ROAD_AVGS:,115.8,114.0,L10AVERAGES:,112.3,124.8,118.5,114.7,L5AVERAGES:,118.8,123.2,120.6,116.0,DAYS_SINCE:,0,0,H2H:,-21,0,1
237,372703,2024-01-10 00:30:00+00:00,2023-2024,151,New York Knicks,156,Portland Trail Blazers,38,25,34,15,0.0,112,22,19,20,23,0.0,84,28,1,196,WIN_PERCENTAGES:,0.6,0.3,4,1,CUM_AVERAGES:,115.6,111.5,109.0,116.3,AT_HOME_AVGS:,114.9,108.4,ON_ROAD_AVGS:,107.6,116.5,L10AVERAGES:,119.2,114.3,112.3,120.8,L5AVERAGES:,120.8,117.6,105.6,125.4,DAYS_SINCE:,3,2,H2H:,0,0,0
253,372719,2024-01-12 01:30:00+00:00,2023-2024,138,Dallas Mavericks,151,New York Knicks,44,30,27,27,0.0,128,26,29,31,38,0.0,124,4,1,252,WIN_PERCENTAGES:,0.6,0.6,-1,5,CUM_AVERAGES:,118.6,116.9,115.5,110.7,AT_HOME_AVGS:,120.7,115.5,ON_ROAD_AVGS:,116.0,113.6,L10AVERAGES:,119.7,114.1,118.3,112.5,L5AVERAGES:,118.6,108.2,120.6,116.6,DAYS_SINCE:,2,2,H2H:,0,0,0
268,372733,2024-01-14 01:00:00+00:00,2023-2024,146,Memphis Grizzlies,151,New York Knicks,27,30,15,22,0.0,94,25,28,30,23,0.0,106,-12,0,200,WIN_PERCENTAGES:,0.4,0.6,-1,-1,CUM_AVERAGES:,108.4,113.6,115.7,111.2,AT_HOME_AVGS:,105.2,112.9,ON_ROAD_AVGS:,116.4,114.2,L10AVERAGES:,112.3,117.0,119.6,112.3,L5AVERAGES:,108.8,113.6,121.4,116.4,DAYS_SINCE:,1,1,H2H:,0,0,0
280,372747,2024-01-15 20:00:00+00:00,2023-2024,151,New York Knicks,153,Orlando Magic,24,28,26,16,0.0,94,24,26,23,25,0.0,98,-4,0,192,WIN_PERCENTAGES:,0.6,0.5,1,-3,CUM_AVERAGES:,115.5,110.7,112.5,111.6,AT_HOME_AVGS:,114.7,106.7,ON_ROAD_AVGS:,109.8,114.6,L10AVERAGES:,117.3,109.5,109.3,114.5,L5AVERAGES:,116.0,108.4,113.6,118.0,DAYS_SINCE:,1,1,H2H:,-9,0,1
296,372762,2024-01-18 00:30:00+00:00,2023-2024,151,New York Knicks,142,Houston Rockets,23,25,29,32,0.0,109,25,21,23,25,0.0,94,15,1,203,WIN_PERCENTAGES:,0.6,0.5,-1,-2,CUM_AVERAGES:,114.9,110.4,112.7,111.8,AT_HOME_AVGS:,113.4,106.2,ON_ROAD_AVGS:,111.6,118.2,L10AVERAGES:,114.7,106.4,115.4,119.8,L5AVERAGES:,112.6,102.0,114.4,124.6,DAYS_SINCE:,2,2,H2H:,0,0,0
