id,date,time,timestamp,timezone,stage,week,venue,status.long,status.short,status.timer,league.id,league.name,league.type,league.season,league.logo,country.id,country.name,country.code,country.flag,teams.home.id,teams.home.name,teams.home.logo,teams.away.id,teams.away.name,teams.away.logo,scores.home.quarter_1,scores.home.quarter_2,scores.home.quarter_3,scores.home.quarter_4,scores.home.over_time,scores.home.total,scores.away.quarter_1,scores.away.quarter_2,scores.away.quarter_3,scores.away.quarter_4,scores.away.over_time,scores.away.total
306066,2012-10-07T02:30:00+00:00,02:30,1349577000,UTC,,,,Game Finished,FT,,12,NBA,League,2012-2013,https://media.api-sports.io/basketball/leagues/12.png,5,USA,US,https://media.api-sports.io/flags/us.svg,144,Los Angeles Clippers,https://media.api-sports.io/basketball/teams/144.png,139,Denver Nuggets,https://media.api-sports.io/basketball/teams/139.png,25,26,25,28,,104,25,31,25,25,,106
306067,2012-10-07T17:00:00+00:00,17:00,1349629200,UTC,,,,Game Finished,FT,,12,NBA,League,2012-2013,https://media.api-sports.io/basketball/leagues/12.png,5,USA,US,https://media.api-sports.io/flags/us.svg,135,Charlotte Hornets,https://media.api-sports.io/basketball/teams/135.png,161,Washington Wizards,https://media.api-sports.io/basketball/teams/161.png,28,28,21,23,,100,20,22,22,24,,88
306068,2012-10-07T18:00:00+00:00,18:00,1349632800,UTC,,,,Game Finished,FT,,12,NBA,League,2012-2013,https://media.api-sports.io/basketball/leagues/12.png,5,USA,US,https://media.api-sports.io/flags/us.svg,132,Atlanta Hawks,https://media.api-sports.io/basketball/teams/132.png,147,Miami Heat,https://media.api-sports.io/basketball/teams/147.png,19,28,23,22,,92,26,19,21,13,,79
306069,2012-10-07T18:30:00+00:00,18:30,1349634600,UTC,,,,Game Finished,FT,,12,NBA,League,2012-2013,https://media.api-sports.io/basketball/leagues/12.png,5,USA,US,https://media.api-sports.io/flags/us.svg,150,New Orleans Pelicans,https://media.api-sports.io/basketball/teams/150.png,153,Orlando Magic,https://media.api-sports.io/basketball/teams/153.png,16,15,23,31,,85,18,28,20,14,,80
306070,2012-10-08T02:00:00+00:00,02:00,1349661600,UTC,,,,Game Finished,FT,,12,NBA,League,2012-2013,https://media.api-sports.io/basketball/leagues/12.png,5,USA,US,https://media.api-sports.io/flags/us.svg,145,Los Angeles Lakers,https://media.api-sports.io/basketball/teams/145.png,141,Golden State Warriors,https://media.api-sports.io/basketball/teams/141.png,26,30,10,17,,83,17,32,37,24,,110
306071,2012-10-09T02:30:00+00:00,02:30,1349749800,UTC,,,,Game Finished,FT,,12,NBA,League,2012-2013,https://media.api-sports.io/basketball/leagues/12.png,5,USA,US,https://media.api-sports.io/flags/us.svg,141,Golden State Warriors,https://media.api-sports.io/basketball/teams/141.png,160,Utah Jazz,https://media.api-sports.io/basketball/teams/160.png,19,23,27,14,,83,21,12,25,22,,80
306072,2012-10-09T23:00:00+00:00,23:00,1349823600,UTC,,,,Game Finished,FT,,12,NBA,League,2012-2013,https://media.api-sports.io/basketball/leagues/12.png,5,USA,US,https://media.api-sports.io/flags/us.svg,137,Cleveland Cavaliers,https://media.api-sports.io/basketball/teams/137.png,148,Milwaukee Bucks,https://media.api-sports.io/basketball/teams/148.png,23,18,24,15,,80,25,27,26,19,,97
306073,2012-10-10T00:00:00+00:00,00:00,1349827200,UTC,,,,Game Finished,FT,,12,NBA,League,2012-2013,https://media.api-sports.io/basketball/leagues/12.png,5,USA,US,https://media.api-sports.io/flags/us.svg,150,New Orleans Pelicans,https://media.api-sports.io/basketball/teams/150.png,135,Charlotte Hornets,https://media.api-sports.io/basketball/teams/135.png,35,11,28,23,,97,28,29,8,17,,82
306074,2012-10-10T00:00:00+00:00,00:00,1349827200,UTC,,,,Game Finished,FT,,12,NBA,League,2012-2013,https://media.api-sports.io/basketball/leagues/12.png,5,USA,US,https://media.api-sports.io/flags/us.svg,136,Chicago Bulls,https://media.api-sports.io/basketball/teams/136.png,146,Memphis Grizzlies,https://media.api-sports.io/basketball/teams/146.png,26,23,32,11,,92,28,24,13,23,,88
306075,2012-10-10T23:30:00+00:00,23:30,1349911800,UTC,,,,Game Finished,FT,,12,NBA,League,2012-2013,https://media.api-sports.io/basketball/leagues/12.png,5,USA,US,https://media.api-sports.io/flags/us.svg,140,Detroit Pistons,https://media.api-sports.io/basketball/teams/140.png,159,Toronto Raptors,https://media.api-sports.io/basketball/teams/159.png,37,19,27,18,,101,26,27,31,15,,99
